iter	Passed	Remaining
0	8	2455
1	15	2239
2	21	2176
3	29	2153
4	35	2112
5	42	2090
6	49	2068
7	56	2059
8	63	2057
9	70	2053
10	78	2062
11	85	2055
12	93	2060
13	101	2069
14	108	2060
15	115	2047
16	122	2038
17	129	2027
18	135	2010
19	142	1999
20	149	1989
21	157	1986
22	164	1975
23	171	1970
24	178	1962
25	185	1956
26	193	1951
27	200	1943
28	207	1937
29	214	1931
30	221	1925
31	228	1913
32	236	1910
33	243	1903
34	250	1896
35	257	1887
36	264	1877
37	271	1870
38	278	1861
39	285	1857
40	292	1850
41	300	1843
42	307	1835
43	314	1827
44	320	1818
45	327	1810
46	337	1815
47	344	1810
48	352	1804
49	359	1795
50	366	1789
51	373	1783
52	381	1776
53	388	1769
54	395	1759
55	403	1756
56	410	1748
57	417	1742
58	424	1732
59	431	1724
60	437	1715
61	444	1707
62	451	1700
63	458	1691
64	465	1681
65	472	1673
66	479	1666
67	485	1656
68	492	1648
69	499	1640
70	505	1631
71	513	1624
72	520	1617
73	526	1608
74	533	1600
75	540	1592
76	547	1584
77	553	1575
78	561	1569
79	568	1562
80	575	1556
81	582	1549
82	590	1543
83	597	1536
84	604	1529
85	611	1522
86	618	1514
87	625	1507
88	633	1500
89	640	1493
90	647	1486
91	653	1478
92	661	1471
93	668	1465
94	675	1457
95	682	1449
96	688	1441
97	695	1433
98	702	1425
99	709	1419
100	716	1411
101	723	1404
102	731	1398
103	738	1390
104	745	1384
105	752	1376
106	758	1368
107	764	1359
108	771	1351
109	778	1344
110	785	1337
111	792	1330
112	799	1323
113	806	1315
114	813	1308
115	820	1301
116	827	1294
117	834	1286
118	841	1279
119	848	1272
120	855	1265
121	862	1258
122	869	1251
123	876	1244
124	884	1237
125	890	1230
126	897	1222
127	904	1214
128	910	1206
129	917	1199
130	923	1191
131	930	1184
132	936	1176
133	943	1168
134	949	1160
135	956	1153
136	963	1146
137	970	1139
138	977	1132
139	984	1124
140	991	1117
141	997	1110
142	1004	1103
143	1011	1096
144	1018	1088
145	1025	1082
146	1033	1075
147	1039	1067
148	1046	1060
149	1053	1053
150	1060	1045
151	1066	1038
152	1073	1031
153	1080	1024
154	1087	1016
155	1093	1009
156	1101	1002
157	1107	995
158	1114	988
159	1121	981
160	1128	974
161	1135	967
162	1142	960
163	1149	952
164	1156	945
165	1162	938
166	1169	931
167	1176	924
168	1183	917
169	1189	909
170	1196	902
171	1202	895
172	1209	887
173	1215	880
174	1222	873
175	1229	866
176	1235	858
177	1242	851
178	1249	844
179	1256	837
180	1263	830
181	1270	823
182	1277	816
183	1283	809
184	1290	802
185	1297	795
186	1304	788
187	1311	781
188	1318	774
189	1325	767
190	1332	760
191	1338	753
192	1345	746
193	1352	738
194	1359	731
195	1365	724
196	1372	717
197	1379	710
198	1386	703
199	1393	696
200	1400	689
201	1407	682
202	1414	675
203	1421	668
204	1428	661
205	1435	654
206	1441	647
207	1448	640
208	1455	633
209	1461	626
210	1468	619
211	1475	612
212	1482	605
213	1489	598
214	1496	591
215	1503	584
216	1510	577
217	1517	570
218	1524	563
219	1530	556
220	1537	549
221	1544	542
222	1551	535
223	1558	528
224	1565	521
225	1572	514
226	1579	507
227	1586	501
228	1593	494
229	1599	486
230	1606	479
231	1612	472
232	1619	465
233	1627	458
234	1633	451
235	1640	444
236	1647	437
237	1654	430
238	1660	423
239	1668	417
240	1674	410
241	1681	402
242	1687	395
243	1694	388
244	1701	381
245	1707	374
246	1714	367
247	1721	360
248	1727	353
249	1734	346
250	1741	339
251	1748	332
252	1755	326
253	1761	319
254	1768	312
255	1774	305
256	1780	297
257	1788	291
258	1794	284
259	1801	277
260	1807	270
261	1814	263
262	1820	256
263	1827	249
264	1833	242
265	1840	235
266	1847	228
267	1854	221
268	1861	214
269	1868	207
270	1875	200
271	1882	193
272	1889	186
273	1896	179
274	1903	173
275	1910	166
276	1917	159
277	1924	152
278	1931	145
279	1938	138
280	1945	131
281	1952	124
282	1958	117
283	1965	110
284	1971	103
285	1978	96
286	1985	89
287	1992	83
288	1999	76
289	2005	69
290	2011	62
291	2018	55
292	2024	48
293	2031	41
294	2038	34
295	2044	27
296	2051	20
297	2058	13
298	2064	6
299	2071	0
